Parsed 3763 previous results from '/Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/results/results_1218_skolemization_60sectimeout.txt'
Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
[49/128] anvil/zookeeper-smt-zookeeper_controller__proof__liveness__stateful_set_match.2.smt2 -> TIMEOUT [60.12s]
[50/128] anvil/zookeeper-smt-zookeeper_controller__proof__liveness__spec.16.smt2 -> TIMEOUT [60.16s]
[51/128] anvil/splinterdb-smt-betree__LinkedBranch_v.44.smt2 -> UNSAT [2.55s]
[52/128] anvil/splinterdb-smt-betree__LinkedBranch_v.7.smt2 -> UNSAT [2.66s]
[53/128] anvil/fluent-smt-fluent_controller__fluentbit_config__proof__helper_invariants__proof.11.smt2 -> TIMEOUT [60.12s]
[54/128] anvil/splinterdb-smt-allocation_layer__MiniAllocator_v.3.smt2 -> UNSAT [2.54s]
[55/128] anvil/zookeeper-smt-rabbitmq-smt-rabbitmq_controller__exec__resource__stateful_set.7.smt2 -> TIMEOUT [60.11s]
[56/128] anvil/zookeeper-smt-rabbitmq-smt-rabbitmq_controller__exec__resource__config_map.4.smt2 -> TIMEOUT [60.09s]
[57/128] anvil/fluent-smt-fluent_controller__fluentbit__proof__helper_invariants__unchangeable.4.smt2 -> TIMEOUT [60.08s]
[58/128] anvil/zookeeper-smt-rabbitmq-smt-rabbitmq_controller__proof__helper_invariants__proof.2.smt2 -> TIMEOUT [60.08s]
[59/128] anvil/zookeeper-smt-rabbitmq-smt-rabbitmq_controller__proof__helper_invariants__proof__lemma_always_resource_object_create_or_update_request_msg_has_one_controller_ref_and_no_finalizers.smt2 -> TIMEOUT [60.11s]
[60/128] anvil/splinterdb-smt-journal__LinkedJournal_v__LinkedJournal.11.smt2 -> UNKNOWN [25.62s]
[61/128] anvil/splinterdb-smt-journal__LinkedJournal_v__LinkedJournal.2.smt2 -> UNSAT [2.51s]
[62/128] anvil/zookeeper-smt-zookeeper_controller__exec__reconciler.12.smt2 -> UNSAT [4.66s]
[63/128] anvil/fluent-smt-fluent_controller__fluentbit_config__exec__reconciler.3.smt2 -> TIMEOUT [60.07s]
[64/128] anvil/fluent-smt-fluent_controller__fluentbit__proof__liveness__daemon_set_match__lemma_daemon_set_state_matches_at_after_update_daemon_set_step.smt2 -> TIMEOUT [60.15s]
[65/128] anvil/splinterdb-smt-journal__PagedJournal_v.13.smt2 -> UNSAT [12.02s]
[66/128] anvil/splinterdb-smt-allocation_layer__LikesBetree_v.19.smt2 -> UNKNOWN [5.62s]
[67/128] anvil/splinterdb-smt-betree__PivotBetree_v.6.smt2 -> UNSAT [2.06s]
[68/128] anvil/splinterdb-smt-betree__FilteredBetree_v.13.smt2 -> TIMEOUT [60.08s]
[69/128] anvil/splinterdb-smt-allocation_layer__AllocationJournal_v.47.smt2 -> TIMEOUT [60.10s]
[70/128] anvil/splinterdb-smt-betree__FilteredBetree_v.29.smt2 -> UNKNOWN [2.97s]
[71/128] anvil/zookeeper-smt-zookeeper_controller__exec__resource__stateful_set.10.smt2 -> TIMEOUT [60.08s]
[72/128] anvil/zookeeper-smt-zookeeper_controller__proof__liveness__resource_match.2.smt2 -> TIMEOUT [60.06s]
[73/128] anvil/splinterdb-smt-allocation_layer__LikesJournal_v.17.smt2 -> UNSAT [1.79s]
[74/128] anvil/splinterdb-smt-betree__Memtable_v.2.smt2 -> UNSAT [1.52s]
[75/128] anvil/splinterdb-smt-betree__LinkedSeq_v.1.smt2 -> UNSAT [2.00s]
[76/128] anvil/splinterdb-smt-betree__LinkedBetree_v.33.smt2 -> UNSAT [2.52s]
[77/128] anvil/splinterdb-smt-allocation_layer__LikesJournalRefinement_v.5.smt2 -> TIMEOUT [60.12s]
[78/128] anvil/splinterdb-smt-journal__LinkedJournal_v.21.smt2 -> UNKNOWN [2.40s]
[79/128] anvil/splinterdb-smt-journal__PagedJournal_v.18.smt2 -> UNSAT [2.38s]
[80/128] anvil/fluent-smt-fluent_controller__fluentbit_config__proof__helper_invariants__proof.6.smt2 -> TIMEOUT [60.10s]
[81/128] anvil/splinterdb-smt-allocation_layer__LikesBetree_v.12.smt2 -> UNKNOWN [4.88s]
[82/128] anvil/splinterdb-smt-betree__PagedBetreeRefinement_v.25.smt2 -> TIMEOUT [60.08s]
[83/128] anvil/zookeeper-smt-zookeeper_controller__exec__resource__admin_server_service.7.smt2 -> TIMEOUT [60.05s]
[84/128] anvil/splinterdb-smt-allocation_layer__AllocationJournal_v.21.smt2 -> UNSAT [2.33s]
[85/128] anvil/splinterdb-smt-betree__Buffer_v.1.smt2 -> UNSAT [2.99s]
[86/128] anvil/splinterdb-smt-allocation_layer__MiniAllocator_v.16.smt2 -> UNSAT [2.52s]
[87/128] anvil/splinterdb-smt-allocation_layer__UnifiedCrashAwareJournal_v.15.smt2 -> TIMEOUT [60.08s]
[88/128] anvil/splinterdb-smt-betree__PagedBetree_v.2.smt2 -> UNKNOWN [2.49s]
[89/128] anvil/splinterdb-smt-exec__Cache_v__Cache.5.smt2 -> TIMEOUT [60.07s]
[90/128] anvil/zookeeper-smt-zookeeper_controller__trusted__spec_types.4.smt2 -> UNKNOWN [49.06s]
[91/128] anvil/splinterdb-smt-allocation_layer__LikesJournal_v.7.smt2 -> UNKNOWN [4.76s]
[92/128] anvil/splinterdb-smt-abstract_system__AbstractCrashAwareSystemRefinement_v.24.smt2 -> TIMEOUT [60.08s]
[93/128] anvil/splinterdb-smt-betree__LinkedBranch_v.34.smt2 -> UNKNOWN [2.21s]
[94/128] anvil/splinterdb-smt-marshalling__IntegerMarshalling_v.12.smt2 -> UNKNOWN [2.05s]
[95/128] anvil/zookeeper-smt-rabbitmq-smt-rabbitmq_controller__exec__resource__role.5.smt2 -> TIMEOUT [60.06s]
[96/128] anvil/fluent-smt-fluent_controller__fluentbit_config__proof__helper_invariants__proof__lemma_always_response_at_after_get_resource_step_is_resource_get_response.smt2 -> TIMEOUT [60.06s]
[97/128] anvil/splinterdb-smt-betree__LinkedBetree_v.79.smt2 -> UNKNOWN [5.28s]
[98/128] anvil/splinterdb-smt-betree__BufferSeq_v.24.smt2 -> UNKNOWN [6.05s]
[99/128] anvil/splinterdb-smt-betree__FilteredBetreeRefinement_v.8.smt2 -> UNKNOWN [14.48s]
[100/128] anvil/splinterdb-smt-betree__LinkedBetree_v.55.smt2 -> UNSAT [2.59s]
[101/128] anvil/splinterdb-smt-betree__LinkedBranch_v.18.smt2 -> UNSAT [2.19s]
[102/128] anvil/zookeeper-smt-zookeeper_controller__proof__liveness__zookeeper_api.5.smt2 -> TIMEOUT [60.09s]
[103/128] anvil/splinterdb-smt-betree__LinkedBetree_v.96.smt2 -> TIMEOUT [60.11s]
[104/128] verussystems/noderep-smt-spec__linearization.13.smt2 -> OTHER [2.11s]
[105/128] verussystems/noderep-smt-spec__linearization.9.smt2 -> OTHER [2.07s]
[106/128] verussystems/noderep-smt-spec__linearization.5.smt2 -> OTHER [2.37s]
[107/128] verussystems/noderep-smt-spec__linearization.4.smt2 -> OTHER [1.77s]
[108/128] anvil/zookeeper-smt-rabbitmq-smt-rabbitmq_controller__proof__helper_invariants__unchangeable.1.smt2 -> TIMEOUT [60.12s]
[109/128] anvil/splinterdb-smt-betree__PivotBetreeRefinement_v.13.smt2 -> UNKNOWN [10.53s]
[110/128] verussystems/noderep-smt-spec__linearization.8.smt2 -> OTHER [1.83s]
[111/128] verussystems/noderep-smt-spec__linearization.3.smt2 -> OTHER [1.54s]
[112/128] verussystems/noderep-smt-spec__linearization.12.smt2 -> OTHER [2.10s]
[113/128] verussystems/noderep-smt-root.3.smt2 -> OTHER [1.41s]
[114/128] verussystems/ironkv-smt-cmessage_v.15.smt2 -> OTHER [4.98s]
[115/128] verussystems/noderep-smt-spec__linearization.14.smt2 -> OTHER [1.55s]
[116/128] verussystems/noderep-smt-root.2.smt2 -> OTHER [1.67s]
[117/128] verussystems/noderep-smt-spec__linearization.2.smt2 -> OTHER [1.53s]
[118/128] verussystems/noderep-smt-root.1.smt2 -> OTHER [1.39s]
[119/128] verussystems/noderep-smt-spec__linearization.1.smt2 -> OTHER [1.49s]
[120/128] verussystems/noderep-smt-spec__linearization.11.smt2 -> OTHER [1.33s]
[121/128] verussystems/noderep-smt-spec__linearization.7.smt2 -> OTHER [1.69s]
[122/128] anvil/splinterdb-smt-betree__LinkedBranch_v__Refinement_v.19.smt2 -> TIMEOUT [60.07s]
[123/128] verussystems/noderep-smt-spec__linearization.6.smt2 -> OTHER [1.55s]
[124/128] verussystems/noderep-smt-spec__linearization.10.smt2 -> OTHER [1.47s]
[125/128] verussystems/noderep-smt-spec__unbounded_log.13.smt2 -> OTHER [7.24s]
[126/128] anvil/zookeeper-smt-rabbitmq-smt-rabbitmq_controller__exec__resource__service_account.7.smt2 -> TIMEOUT [60.07s]
[127/128] anvil/fluent-smt-fluent_controller__fluentbit_config__proof__liveness__resource_match.1.smt2 -> TIMEOUT [60.06s]
[128/128] anvil/zookeeper-smt-zookeeper_controller__exec__resource__config_map.12.smt2 -> TIMEOUT [60.03s]

Processing completed in 452.00 seconds

============================================================
SUMMARY
============================================================

Total files processed: 128
  - UNSAT results:     35 (27.3%)
  - UNKNOWN results:   24 (18.8%)
  - TIMEOUT results:   50 (39.1%)
  - ERROR results:      0 (0.0%)
  - OTHER results:     19 (14.8%)

  - Neither UNSAT nor UNKNOWN:   69 (53.9%)
