Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
Found 3763 files to process in '/Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus'
Using 8 parallel processes
[83/3763] splinterdb/betree__PagedBetree_v.7.smt2 -> UNSAT
[84/3763] splinterdb/betree__LinkedBetree_v.53.smt2 -> UNKNOWN
[85/3763] splinterdb/allocation_layer__AllocationJournal_v.5.smt2 -> UNSAT
[86/3763] splinterdb/journal__PagedJournal_v.6.smt2 -> UNSAT
[87/3763] splinterdb/journal__LinkedJournal_v.16.smt2 -> UNSAT
[88/3763] splinterdb/abstract_system__AbstractJournal_v__AbstractJournal.2.smt2 -> UNSAT
[89/3763] splinterdb/disk__GenericDisk_v.1.smt2 -> UNSAT
[90/3763] splinterdb/betree__PivotTable_v.2.smt2 -> UNKNOWN
[91/3763] splinterdb/allocation_layer__AllocationCrashAwareJournalRefinement_v.3.smt2 -> TIMEOUT
[92/3763] splinterdb/betree__LinkedBetree_v.45.smt2 -> UNSAT
[93/3763] splinterdb/betree__PivotBetree_v.19.smt2 -> UNSAT
[94/3763] splinterdb/betree__LinkedBetree_v.12.smt2 -> UNSAT
[95/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.4.smt2 -> UNSAT
[96/3763] splinterdb/journal__LinkedJournal_v.41.smt2 -> UNSAT
[97/3763] splinterdb/marshalling__IntegerMarshalling_v.35.smt2 -> UNKNOWN
[98/3763] splinterdb/betree__BufferSeq_v.8.smt2 -> UNSAT
[99/3763] splinterdb/betree__PagedBetree_v.24.smt2 -> UNKNOWN
[100/3763] splinterdb/journal__PagedJournal_v.10.smt2 -> UNKNOWN
[101/3763] splinterdb/betree__FilteredBetreeRefinement_v.12.smt2 -> UNSAT
[102/3763] splinterdb/betree__LinkedBranch_v.24.smt2 -> UNKNOWN
[103/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.15.smt2 -> TIMEOUT
[104/3763] splinterdb/betree__FilteredBetree_v.32.smt2 -> UNSAT
[105/3763] splinterdb/betree__LinkedBetree_v.69.smt2 -> UNSAT
[106/3763] splinterdb/abstract_system__MsgHistory_v.12.smt2 -> UNSAT
[107/3763] splinterdb/journal__LinkedJournal_v.9.smt2 -> UNSAT
[108/3763] splinterdb/allocation_layer__MiniAllocator_v.9.smt2 -> UNSAT
[109/3763] splinterdb/betree__LinkedBranch_v.5.smt2 -> UNSAT
[110/3763] splinterdb/betree__LinkedBetree_v.100.smt2 -> TIMEOUT
[111/3763] splinterdb/betree__Buffer_v.13.smt2 -> UNSAT
[112/3763] splinterdb/allocation_layer__LikesBetree_v.11.smt2 -> TIMEOUT
[113/3763] splinterdb/betree__FilteredBetreeRefinement_v.3.smt2 -> UNKNOWN
[114/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v.7.smt2 -> UNSAT
[115/3763] splinterdb/betree__LinkedBetree_v.86.smt2 -> UNKNOWN
[116/3763] splinterdb/betree__PivotBetree_v.35.smt2 -> UNKNOWN
[117/3763] splinterdb/allocation_layer__AllocationJournal_v.37.smt2 -> TIMEOUT
[118/3763] splinterdb/allocation_layer__AllocationCrashAwareJournal_v__AllocationCrashAwareJournal.6.smt2 -> UNKNOWN
[119/3763] splinterdb/marshalling__IntegerMarshalling_v.19.smt2 -> UNKNOWN
[120/3763] splinterdb/journal__LinkedJournalRefinement_v.7.smt2 -> UNKNOWN
[121/3763] splinterdb/exec__MiniAllocator_v.3.smt2 -> UNSAT
[122/3763] splinterdb/betree__PivotBetree_v.23.smt2 -> UNSAT
[123/3763] splinterdb/betree__LinkedBetree_v.28.smt2 -> UNSAT
[124/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.39.smt2 -> TIMEOUT
[125/3763] splinterdb/betree__Buffer_v.5.smt2 -> UNSAT
[126/3763] splinterdb/allocation_layer__LikesJournal_v.27.smt2 -> TIMEOUT
[127/3763] splinterdb/betree__BufferDisk_v.6.smt2 -> UNSAT
[128/3763] splinterdb/betree__LinkedBranch_v.65.smt2 -> UNKNOWN
[129/3763] splinterdb/betree__Domain_v.3.smt2 -> UNSAT
[130/3763] splinterdb/allocation_layer__LikesBetree_v__LikesBetree.8.smt2 -> TIMEOUT
[131/3763] splinterdb/betree__OffsetMap_v.4.smt2 -> UNSAT
[132/3763] splinterdb/betree__PivotBetreeRefinement_v.10.smt2 -> UNSAT
[133/3763] splinterdb/betree__LinkedBetree_v__LinkedBetreeVars.8.smt2 -> TIMEOUT
[134/3763] splinterdb/marshalling__Marshalling_v.1.smt2 -> UNSAT
[135/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.24.smt2 -> TIMEOUT
[136/3763] splinterdb/betree__FilteredBetreeRefinement_v.28.smt2 -> UNKNOWN
[137/3763] splinterdb/betree__LinkedBranch_v.32.smt2 -> UNKNOWN
[138/3763] splinterdb/betree__FilteredBetree_v.24.smt2 -> UNSAT
[139/3763] splinterdb/allocation_layer__AllocationJournal_v.21.smt2 -> UNSAT
[140/3763] splinterdb/journal__PagedJournalRefinement_v.16.smt2 -> UNKNOWN
[141/3763] splinterdb/betree__BufferDisk_v.11.smt2 -> UNSAT
[142/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.15.smt2 -> TIMEOUT
[143/3763] splinterdb/betree__BufferSeq_v.11.smt2 -> UNKNOWN
[144/3763] splinterdb/betree__LinkedBetree_v.90.smt2 -> UNSAT
[145/3763] splinterdb/betree__PagedBetreeRefinement_v.17.smt2 -> UNKNOWN
[146/3763] splinterdb/betree__PivotBetreeRefinement_v.5.smt2 -> UNKNOWN
[147/3763] splinterdb/betree__Utils_v.4.smt2 -> UNKNOWN
[148/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.32.smt2 -> TIMEOUT
[149/3763] splinterdb/betree__LinkedBetree_v.6.smt2 -> UNKNOWN
[150/3763] splinterdb/allocation_layer__LikesJournal_v.31.smt2 -> UNKNOWN
[151/3763] splinterdb/journal__PagedJournalRefinement_v.3.smt2 -> UNKNOWN
[152/3763] splinterdb/abstract_system__MsgHistory_v.8.smt2 -> UNSAT
[153/3763] splinterdb/journal__LinkedJournalRefinement_v.10.smt2 -> UNKNOWN
[154/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.6.smt2 -> UNSAT
