Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11
[71/3763] verussystems/ironkv-smt-delegation_map_v.3.smt2 -> UNSAT [7.98s]
[72/3763] atmosphere/array_set.2.smt2 -> UNKNOWN [8.05s]
[73/3763] verussystems/noderep-smt-spec__linearization.5.smt2 -> OTHER [8.09s]
[74/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__pmemmock_t.smt2 -> UNSAT [8.10s]
[75/3763] verussystems/ironkv-smt-delegation_map_v.20.smt2 -> UNSAT [8.11s]
[76/3763] atmosphere/pagetable__entry.5.smt2 -> UNSAT [8.16s]
[77/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.6.smt2 -> UNKNOWN [8.17s]
[78/3763] atmosphere/array_vec.7.smt2 -> UNKNOWN [8.19s]
[79/3763] atmosphere/define.9.smt2 -> UNSAT [8.19s]
[80/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__pmemspec_t.2.smt2 -> UNSAT [8.23s]
[81/3763] atmosphere/pagetable__entry.1.smt2 -> UNSAT [8.33s]
[82/3763] atmosphere/array_vec.10.smt2 -> UNKNOWN [8.37s]
[83/3763] verussystems/ironkv-smt-single_delivery_t.12.smt2 -> UNSAT [8.42s]
[84/3763] atmosphere/define.1.smt2 -> UNSAT [8.43s]
[85/3763] atmosphere/trap.8.smt2 -> UNSAT [8.48s]
[86/3763] verussystems/noderep-smt-spec__linearization.13.smt2 -> OTHER [8.53s]
[87/3763] atmosphere/trap.7.smt2 -> UNSAT [8.54s]
[88/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.1.smt2 -> UNKNOWN [8.54s]
[89/3763] verussystems/noderep-smt-spec__utils.3.smt2 -> UNKNOWN [8.56s]
[90/3763] atmosphere/process_manager__container_tree_spec_impl.2.smt2 -> UNKNOWN [8.62s]
[91/3763] verussystems/noderep-smt-spec__linearization.6.smt2 -> OTHER [8.61s]
[92/3763] verussystems/noderep-smt-spec__flat_combiner__FlatCombiner.2.smt2 -> UNKNOWN [8.65s]
