Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11
[72/3763] verussystems/ironkv-smt-single_delivery_t.11.smt2 -> UNSAT [7.93s]
[73/3763] atmosphere/pagetable__pagemap.4.smt2 -> UNKNOWN [7.95s]
[74/3763] atmosphere/array_vec.6.smt2 -> UNKNOWN [7.98s]
[75/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.24.smt2 -> UNKNOWN [7.99s]
[76/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.6.smt2 -> UNSAT [8.00s]
[77/3763] atmosphere/process_manager__container_tree_spec_impl.2.smt2 -> UNKNOWN [8.04s]
[78/3763] atmosphere/slinkedlist__spec_impl_u.3.smt2 -> UNSAT [8.08s]
[79/3763] verussystems/ironkv-smt-host_protocol_t.1.smt2 -> UNSAT [8.10s]
[80/3763] atmosphere/array.6.smt2 -> UNKNOWN [8.16s]
[81/3763] atmosphere/pagetable__entry.5.smt2 -> UNSAT [8.19s]
[82/3763] atmosphere/pagetable__pagemap.5.smt2 -> UNSAT [8.21s]
[83/3763] verussystems/ironkv-smt-single_delivery_state_v.4.smt2 -> UNSAT [8.23s]
[84/3763] verussystems/noderep-smt-spec__simple_log__SimpleLog.2.smt2 -> UNKNOWN [8.26s]
[85/3763] verussystems/noderep-smt-spec__linearization.5.smt2 -> OTHER [8.32s]
[86/3763] verussystems/mimalloc-smt-flags.4.smt2 -> UNSAT [8.35s]
[87/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__pmemspec_t.2.smt2 -> UNSAT [8.37s]
[88/3763] atmosphere/trap.9.smt2 -> UNSAT [8.39s]
[89/3763] verussystems/ironkv-smt-delegation_map_v.20.smt2 -> UNSAT [8.40s]
[90/3763] verussystems/noderep-smt-spec__linearization.6.smt2 -> OTHER [8.45s]
[91/3763] verussystems/noderep-smt-spec__linearization.13.smt2 -> OTHER [8.48s]
[92/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__volatile__volatilespec_t.smt2 -> UNSAT [8.48s]
[93/3763] verussystems/ironkv-smt-keys_t.1.smt2 -> UNSAT [8.56s]
[94/3763] verussystems/noderep-smt-exec__rwlock__impl_%4__new.1.smt2 -> UNKNOWN [8.61s]
[95/3763] atmosphere/array_set.4.smt2 -> UNKNOWN [8.66s]
[96/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.1.smt2 -> UNSAT [8.68s]
[97/3763] verussystems/mimalloc-smt-types__BoolAgree.1.smt2 -> UNSAT [3.16s]
[98/3763] verussystems/noderep-smt-root.2.smt2 -> OTHER [3.20s]
[99/3763] atmosphere/array_vec.8.smt2 -> UNKNOWN [8.82s]
[100/3763] verussystems/mimalloc-smt-config.4.smt2 -> UNKNOWN [3.16s]
[101/3763] verussystems/mimalloc-smt-config.6.smt2 -> UNKNOWN [2.90s]
[102/3763] verussystems/mimalloc-smt-flags.13.smt2 -> UNKNOWN [2.84s]
[103/3763] verussystems/ironkv-smt-delegation_map_v.9.smt2 -> UNSAT [5.62s]
[104/3763] atmosphere/array.4.smt2 -> UNKNOWN [9.05s]
[105/3763] verussystems/noderep-smt-spec__linearization.7.smt2 -> OTHER [2.65s]
[106/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.10.smt2 -> UNKNOWN [2.70s]
[107/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__linux_pmemfile_t.6.smt2 -> UNKNOWN [2.94s]
[108/3763] verussystems/ironkv-smt-delegation_map_v.38.smt2 -> UNSAT [3.67s]
[109/3763] verussystems/ironkv-smt-delegation_map_v.4.smt2 -> UNSAT [3.28s]
[110/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.23.smt2 -> UNKNOWN [2.81s]
[111/3763] verussystems/noderep-smt-spec__unbounded_log.3.smt2 -> UNKNOWN [2.68s]
[112/3763] verussystems/ironkv-smt-args_t.1.smt2 -> UNKNOWN [2.73s]
[113/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__inv_v.2.smt2 -> UNSAT [3.14s]
[114/3763] verussystems/noderep-smt-spec__linearization.14.smt2 -> OTHER [2.74s]
[115/3763] verussystems/ironkv-smt-marshal_v.27.smt2 -> UNKNOWN [2.79s]
[116/3763] verussystems/ironkv-smt-delegation_map_v.3.smt2 -> UNSAT [9.53s]
[117/3763] verussystems/ironkv-smt-keys_t.8.smt2 -> UNSAT [2.64s]
[118/3763] verussystems/noderep-smt-spec__unbounded_log.12.smt2 -> UNKNOWN [3.96s]
[119/3763] verussystems/noderep-smt-spec__linearization.12.smt2 -> OTHER [2.70s]
[120/3763] verussystems/ironkv-smt-single_delivery_t.9.smt2 -> UNSAT [2.66s]
[121/3763] verussystems/ironkv-smt-marshal_v.16.smt2 -> UNKNOWN [2.90s]
[122/3763] verussystems/ironkv-smt-marshal_v.49.smt2 -> UNKNOWN [2.89s]
[123/3763] verussystems/noderep-smt-exec__utils.4.smt2 -> UNKNOWN [7.20s]
[124/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.13.smt2 -> UNSAT [2.68s]
[125/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_t.6.smt2 -> UNSAT [9.77s]
[126/3763] verussystems/ironkv-smt-cmessage_v.9.smt2 -> UNSAT [4.03s]
[127/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.42.smt2 -> UNSAT [2.87s]
[128/3763] verussystems/ironkv-smt-marshal_v.48.smt2 -> UNKNOWN [2.89s]
[129/3763] verussystems/ironkv-smt-keys_t.9.smt2 -> UNSAT [2.56s]
