Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
[72/3763] splinterdb/betree__PagedBetree_v.32.smt2 -> UNKNOWN [1.98s]
[73/3763] splinterdb/betree__BufferOffsets_v.6.smt2 -> UNSAT [1.96s]
[74/3763] verismo/tspec_e__array__sort.5.smt2 -> TIMEOUT [60.13s]
[75/3763] splinterdb/betree__LinkedBetree_v.53.smt2 -> UNKNOWN [4.68s]
[76/3763] verismo/tspec__seqlib__subseq.2.smt2 -> TIMEOUT [60.14s]
[77/3763] splinterdb/betree__PivotBetree_v.8.smt2 -> UNSAT [1.70s]
[78/3763] splinterdb/betree__PagedBetree_v.7.smt2 -> UNSAT [2.26s]
[79/3763] verismo/tspec__seqlib__seq_multiset.2.smt2 -> TIMEOUT [60.15s]
[80/3763] splinterdb/allocation_layer__AllocationJournal_v.5.smt2 -> UNSAT [1.91s]
[81/3763] splinterdb/betree__LinkedBetree_v.45.smt2 -> UNSAT [3.16s]
[82/3763] splinterdb/journal__PagedJournal_v.6.smt2 -> UNSAT [1.79s]
[83/3763] splinterdb/journal__LinkedJournal_v.16.smt2 -> UNSAT [2.13s]
[84/3763] splinterdb/abstract_system__AbstractJournal_v__AbstractJournal.2.smt2 -> UNSAT [2.79s]
[85/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.4.smt2 -> UNSAT [11.79s]
[86/3763] verismo/tspec_e__array__sort.7.smt2 -> TIMEOUT [60.12s]
[87/3763] verismo/tspec__range_set.6.smt2 -> TIMEOUT [60.11s]
[88/3763] splinterdb/disk__GenericDisk_v.1.smt2 -> UNSAT [2.37s]
[89/3763] verismo/tspec_e__array__sort.6.smt2 -> TIMEOUT [60.11s]
[90/3763] splinterdb/betree__PivotTable_v.2.smt2 -> UNKNOWN [1.64s]
[91/3763] splinterdb/betree__LinkedBetree_v.12.smt2 -> UNSAT [2.17s]
[92/3763] splinterdb/betree__PivotBetree_v.19.smt2 -> UNSAT [1.76s]
[93/3763] splinterdb/marshalling__IntegerMarshalling_v.35.smt2 -> UNKNOWN [2.02s]
[94/3763] splinterdb/journal__LinkedJournal_v.41.smt2 -> UNSAT [2.29s]
[95/3763] splinterdb/betree__FilteredBetreeRefinement_v.12.smt2 -> UNSAT [4.96s]
[96/3763] splinterdb/betree__BufferSeq_v.8.smt2 -> UNSAT [2.17s]
[97/3763] splinterdb/betree__PagedBetree_v.24.smt2 -> UNKNOWN [2.08s]
[98/3763] splinterdb/betree__LinkedBetree_v.69.smt2 -> UNSAT [3.34s]
[99/3763] splinterdb/betree__LinkedBranch_v.24.smt2 -> UNKNOWN [2.36s]
[100/3763] splinterdb/allocation_layer__LikesBetree_v.11.smt2 -> UNKNOWN [21.35s]
[101/3763] splinterdb/betree__FilteredBetree_v.32.smt2 -> UNSAT [2.96s]
[102/3763] splinterdb/betree__PivotBranch_v.15.smt2 -> TIMEOUT [60.08s]
[103/3763] splinterdb/allocation_layer__AllocationCrashAwareJournalRefinement_v.3.smt2 -> TIMEOUT [60.06s]
[104/3763] splinterdb/abstract_system__MsgHistory_v.28.smt2 -> TIMEOUT [60.07s]
[105/3763] splinterdb/abstract_system__MsgHistory_v.12.smt2 -> UNSAT [3.29s]
[106/3763] splinterdb/journal__LinkedJournal_v.9.smt2 -> UNSAT [2.34s]
[107/3763] splinterdb/betree__FilteredBetreeRefinement_v.3.smt2 -> UNKNOWN [7.14s]
[108/3763] splinterdb/betree__LinkedBranch_v.5.smt2 -> UNSAT [2.99s]
[109/3763] splinterdb/allocation_layer__MiniAllocator_v.9.smt2 -> UNSAT [1.44s]
[110/3763] splinterdb/betree__LinkedBetree_v.86.smt2 -> UNKNOWN [16.16s]
[111/3763] splinterdb/betree__Buffer_v.13.smt2 -> UNSAT [2.15s]
[112/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.15.smt2 -> TIMEOUT [60.11s]
[113/3763] splinterdb/allocation_layer__LikesBetree_v__LikesBetree.8.smt2 -> UNSAT [10.93s]
[114/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v.7.smt2 -> UNSAT [3.35s]
[115/3763] splinterdb/betree__LinkedBetree_v.100.smt2 -> TIMEOUT [60.09s]
[116/3763] splinterdb/betree__PivotBetree_v.35.smt2 -> UNKNOWN [5.81s]
[117/3763] splinterdb/marshalling__IntegerMarshalling_v.19.smt2 -> UNKNOWN [3.06s]
[118/3763] splinterdb/journal__PagedJournal_v.10.smt2 -> TIMEOUT [60.09s]
[119/3763] splinterdb/betree__LinkedBetree_v__LinkedBetreeVars.8.smt2 -> UNSAT [8.62s]
[120/3763] splinterdb/allocation_layer__AllocationJournal_v.37.smt2 -> TIMEOUT [60.06s]
[121/3763] splinterdb/exec__MiniAllocator_v.3.smt2 -> UNSAT [4.24s]
[122/3763] splinterdb/betree__LinkedBetree_v.28.smt2 -> UNSAT [3.22s]
[123/3763] splinterdb/betree__PivotBetree_v.23.smt2 -> UNSAT [2.04s]
[124/3763] splinterdb/betree__Buffer_v.5.smt2 -> UNSAT [1.89s]
[125/3763] splinterdb/betree__FilteredBetreeRefinement_v.28.smt2 -> UNKNOWN [16.16s]
[126/3763] splinterdb/betree__BufferDisk_v.6.smt2 -> UNSAT [2.33s]
[127/3763] splinterdb/betree__Domain_v.3.smt2 -> UNSAT [2.21s]
[128/3763] splinterdb/allocation_layer__AllocationCrashAwareJournal_v__AllocationCrashAwareJournal.6.smt2 -> UNKNOWN [54.52s]
[129/3763] splinterdb/betree__PivotBetreeRefinement_v.10.smt2 -> UNSAT [2.69s]
[130/3763] splinterdb/betree__OffsetMap_v.4.smt2 -> UNSAT [3.02s]
[131/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.39.smt2 -> TIMEOUT [60.06s]
[132/3763] splinterdb/allocation_layer__LikesJournal_v.27.smt2 -> TIMEOUT [60.05s]
[133/3763] splinterdb/marshalling__Marshalling_v.1.smt2 -> UNSAT [1.93s]
[134/3763] splinterdb/betree__LinkedBetree_v.90.smt2 -> UNSAT [3.78s]
[135/3763] splinterdb/betree__PivotBetreeRefinement_v.5.smt2 -> UNKNOWN [7.16s]
[136/3763] splinterdb/betree__FilteredBetree_v.24.smt2 -> UNSAT [2.52s]
[137/3763] splinterdb/journal__LinkedJournalRefinement_v.7.smt2 -> TIMEOUT [60.04s]
[138/3763] splinterdb/allocation_layer__AllocationJournal_v.21.smt2 -> UNSAT [2.52s]
[139/3763] splinterdb/betree__BufferDisk_v.11.smt2 -> UNSAT [2.09s]
[140/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.24.smt2 -> TIMEOUT [60.07s]
[141/3763] splinterdb/betree__BufferSeq_v.11.smt2 -> UNKNOWN [2.30s]
[142/3763] splinterdb/betree__LinkedBetree_v.6.smt2 -> UNKNOWN [3.81s]
[143/3763] splinterdb/betree__Utils_v.4.smt2 -> UNKNOWN [2.57s]
[144/3763] splinterdb/betree__LinkedBranch_v.65.smt2 -> TIMEOUT [60.06s]
[145/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.15.smt2 -> TIMEOUT [60.08s]
[146/3763] splinterdb/allocation_layer__LikesJournal_v.31.smt2 -> UNKNOWN [7.27s]
[147/3763] splinterdb/journal__LinkedJournalRefinement_v.10.smt2 -> UNSAT [5.09s]
[148/3763] splinterdb/abstract_system__MsgHistory_v.8.smt2 -> UNSAT [2.28s]
[149/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.12.smt2 -> UNSAT [8.19s]
[150/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.6.smt2 -> UNSAT [3.28s]
[151/3763] splinterdb/betree__LinkedBranch_v.45.smt2 -> UNSAT [2.10s]
[152/3763] splinterdb/allocation_layer__LikesJournal_v.11.smt2 -> UNSAT [2.89s]
[153/3763] splinterdb/journal__PagedJournalRefinement_v.16.smt2 -> TIMEOUT [60.06s]
[154/3763] splinterdb/allocation_layer__AllocationJournalRefinement_v.3.smt2 -> UNKNOWN [20.49s]
[155/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.32.smt2 -> TIMEOUT [60.07s]
[156/3763] splinterdb/betree__LinkedBranch_v.32.smt2 -> TIMEOUT [60.07s]
[157/3763] splinterdb/betree__PivotBetree_v.4.smt2 -> UNKNOWN [5.28s]
[158/3763] splinterdb/allocation_layer__LikesJournal_v.8.smt2 -> UNKNOWN [18.77s]
[159/3763] splinterdb/abstract_system__MsgHistory_v.24.smt2 -> UNSAT [3.21s]
[160/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.7.smt2 -> UNSAT [7.64s]
[161/3763] splinterdb/betree__PivotBranch_v.19.smt2 -> UNSAT [2.49s]
[162/3763] splinterdb/betree__LinkedBranch_v.12.smt2 -> UNSAT [3.06s]
[163/3763] splinterdb/journal__PagedJournal_v.26.smt2 -> UNSAT [3.36s]
[164/3763] splinterdb/betree__PivotBranch_v.7.smt2 -> UNSAT [3.26s]
[165/3763] splinterdb/allocation_layer__AllocationJournal_v.17.smt2 -> UNSAT [2.36s]
[166/3763] splinterdb/betree__FilteredBetree_v.12.smt2 -> UNSAT [3.61s]
[167/3763] splinterdb/betree__LinkedBetree_v.49.smt2 -> UNSAT [3.64s]
[168/3763] splinterdb/betree__PivotBetree_v.42.smt2 -> UNSAT [3.22s]
[169/3763] splinterdb/betree__PagedBetreeRefinement_v.17.smt2 -> TIMEOUT [60.07s]
[170/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.8.smt2 -> UNSAT [13.61s]
[171/3763] splinterdb/betree__Memtable_v.10.smt2 -> UNKNOWN [10.31s]
[172/3763] splinterdb/journal__PagedJournalRefinement_v.3.smt2 -> TIMEOUT [60.06s]
